UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E013,F3E013,XF3E014,F3E014,XF3E015,F3E015,XF3E016,F3E016,XF3E017,F3E017,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02A3,F3E02A3,XF3E02A4,F3E02A4,XF3E02A5,F3E02A5,XF3E02A6,F3E02A6,XF3E02A7,F3E02A7,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E02B3,F3E02B3,XF3E02B4,F3E02B4,XF3E02B5,F3E02B5,XF3E02B6,F3E02B6,XF3E02B7,F3E02B7,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03A3,F3E03A3,XF3E03A4,F3E03A4,XF3E03A5,F3E03A5,XF3E03A6,F3E03A6,XF3E03A7,F3E03A7,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03B3,F3E03B3,XF3E03B4,F3E03B4,XF3E03B5,F3E03B5,XF3E03B6,F3E03B6,XF3E03B7,F3E03B7,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E03C3,F3E03C3,XF3E03C4,F3E03C4,XF3E03C5,F3E03C5,XF3E03C6,F3E03C6,XF3E03C7,F3E03C7,XF3E041,F3E041,XF3E042,F3E042,XF3E043,F3E043,XF3E044,F3E044,XF3E045,F3E045,XF3E046,F3E046,XF3E047,F3E047,XF3E051,F3E051,XF3E057,F3E057,XF3E101,F3E101,XF3E102,F3E102,XF3E103,F3E103,XF3E104,F3E104,XF3E105,F3E105,XF3E106,F3E106,XF3E107,F3E107,XF3E111,F3E111,XF3E112,F3E112,XF3E113,F3E113,XF3E114,F3E114,XF3E115,F3E115,XF3E116,F3E116,XF3E117,F3E117,XF3E061,F3E061,XF3E062,F3E062,XF3E063,F3E063,XF3E064,F3E064,XF3E065,F3E065,XF3E066,F3E066,XF3E067,F3E067,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
133845,"R",6604000,"Z",0,"R",2464000,"Z",0,"R",6845000,"Z",0,"R",-241000,"R",6604000,"Z",0,"R",1723000,"R",2090000,"R",80000,"R",102000,"R",3995000,"R",1531000,"R",2464000,"R",9036000,"R",9277000,"R",0,"R",-241000,"Z",0,"R",4276000,"R",-4276000,"R",-241000,"R",2059000,"R",55000,"R",1212000,"R",92000,"R",1120000,"R",22000,"R",3348000,"R",22000,"Z",0,"R",5686000,"R",2114000,"Z",0,"R",2114000,"R",1212000,"Z",0,"R",92000,"Z",0,"R",1120000,"Z",0,"Z",0,"R",24000,"Z",0,"A",,"R",0,"R",9036000,"R",3866000,"R",2630000,"R",209000,"R",336000,"Z",0,"Z",0,"R",691000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",611000,"R",254000,"R",21000,"R",336000,"Z",0,"Z",0,"R",0,"R",1228000,"R",785000,"R",62000,"R",335000,"Z",0,"Z",0,"R",46000,"R",3572000,"R",493000,"R",39000,"R",335000,"R",294000,"Z",0,"R",2411000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-1342000,"Z",0,"Z",0,"R",1342000,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",9277000,"R",4162000,"R",331000,"R",294000,"Z",0,"R",4490000,"R",181000,"Z",0, 1
133854,"R",5095000,"Z",0,"R",1653000,"Z",0,"R",6211000,"Z",0,"R",-1116000,"R",5095000,"Z",0,"R",2167000,"R",1009000,"Z",0,"R",27000,"R",3203000,"R",1550000,"R",1653000,"R",7862000,"R",8978000,"R",0,"R",-1116000,"Z",0,"R",1937000,"R",-1937000,"R",-1116000,"R",1974000,"R",57000,"R",254000,"R",70000,"R",184000,"R",106000,"R",2391000,"R",106000,"Z",0,"R",5561000,"R",2031000,"Z",0,"R",2031000,"R",254000,"Z",0,"R",70000,"Z",0,"R",184000,"Z",0,"Z",0,"R",16000,"Z",0,"A",,"R",0,"R",7862000,"R",3532000,"R",2472000,"R",184000,"R",297000,"Z",0,"Z",0,"R",579000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",641000,"R",320000,"R",24000,"R",297000,"Z",0,"Z",0,"R",0,"R",1323000,"R",927000,"R",69000,"R",297000,"Z",0,"Z",0,"R",30000,"R",3482000,"R",518000,"R",39000,"R",296000,"R",282364,"Z",0,"R",2346636,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-1187000,"Z",0,"Z",0,"R",1187000,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",8978000,"R",4237000,"R",316000,"R",282364,"Z",0,"R",4142636,"R",181000,"Z",0, 1
133863,"R",4167000,"Z",0,"R",946000,"Z",0,"R",4933000,"Z",0,"R",-766000,"R",4167000,"R",391000,"R",690000,"R",1055000,"R",26000,"R",31000,"R",2193000,"R",1247000,"R",946000,"R",6825000,"R",7590000,"R",-1000,"R",-766000,"Z",0,"R",1473000,"R",-1473000,"R",-766000,"R",1809000,"R",35000,"R",380000,"R",24000,"R",356000,"R",68000,"R",2292000,"R",68000,"Z",0,"R",4579000,"R",1844000,"Z",0,"R",1844000,"R",380000,"Z",0,"R",24000,"Z",0,"R",356000,"Z",0,"Z",0,"R",22000,"Z",0,"A",,"R",0,"R",6825000,"R",2810000,"R",1951000,"R",172000,"R",237000,"Z",0,"Z",0,"R",450000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",533000,"R",272000,"R",24000,"R",237000,"Z",0,"Z",0,"R",0,"R",943000,"R",618000,"R",55000,"R",238000,"Z",0,"Z",0,"R",32000,"R",3304000,"R",425000,"R",37000,"R",238000,"R",213000,"Z",0,"R",2391000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-950000,"Z",0,"Z",0,"R",950000,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",7590000,"R",3266000,"R",288000,"R",213000,"Z",0,"R",3823000,"R",181000,"Z",0, 1
133942,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",148437,"R",0,"R",0,"R",0,"R",0,"R",0,"R",148437,"R",0,"R",0,"R",1124810,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-3301,"R",0,"A",,"A",,"R",0,"R",1121509,"R",451732,"R",262957,"R",15320,"R",21450,"R",33753,"R",3301,"R",114951,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",87488,"R",23846,"R",5681,"Z",0,"R",486,"Z",0,"R",57475,"R",104911,"R",36779,"R",10110,"Z",0,"R",546,"Z",0,"R",57476,"R",110960,"R",43350,"R",7752,"R",952,"R",1430,"Z",0,"R",57476,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-22402,"Z",0,"Z",0,"R",22402,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",755091,"R",366932,"R",38863,"R",36215,"R",3301,"R",309780,"A",,"A",,-2
133997,"R",117503402,"R",0,"R",26801000,"R",6747000,"R",44692421,"R",0,"R",72810981,"R",117503402,"Z",0,"R",0,"R",8489242,"R",0,"R",22580017,"R",31069259,"R",4268259,"R",26801000,"R",98848414,"R",82755025,"R",0,"R",16093389,"R",-1221000,"R",75329165,"R",-17390573,"R",72810981,"R",23539923,"R",346633,"R",687447,"R",687447,"Z",0,"R",424709,"R",24998712,"R",1394154,"Z",0,"R",87861775,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3395185,"Z",0,"R",7591454,"Z",0,"R",0,"R",98848414,"R",29003230,"R",11941107,"R",904127,"R",13295662,"R",1594216,"R",1268118,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19495363,"R",8026562,"R",607735,"R",8937065,"R",1071598,"R",852403,"R",0,"R",29152940,"R",12002745,"R",908794,"R",13364292,"R",1602445,"R",1274664,"R",0,"R",5103492,"Z",0,"Z",0,"R",5103492,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-40700511,"Z",0,"Z",0,"R",40700511,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",82755025,"R",31970414,"R",2420656,"R",4268259,"R",3395185,"R",40700511,"Z",0,"Z",0, 1
134024,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",244679,"R",6475,"Z",0,"Z",0,"Z",0,"R",11450,"R",262604,"R",0,"R",0,"R",1097460,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",300335,"A",,"A",,"R",0,"R",1397795,"R",333002,"R",333002,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",100618,"R",22112,"R",0,"Z",0,"Z",0,"Z",0,"R",78506,"R",59736,"R",48486,"R",0,"Z",0,"Z",0,"Z",0,"R",11250,"R",731308,"R",441114,"R",0,"R",124152,"R",30758,"R",49086,"R",86198,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",55378,"Z",0,"R",-124152,"R",11650,"Z",0,"R",57124,"R",75066,"R",0,"R",0,"R",0,"R",0,"R",0,"R",75066,"R",1299730,"R",900092,"Z",0,"R",42408,"R",49086,"R",308144,"A",,"A",,-2
134112,"R",42892710,"R",0,"R",7122698,"R",2978588,"R",16833401,"R",0,"R",26059309,"R",42892710,"R",0,"R",0,"R",10279511,"R",391360,"R",5730604,"R",16401475,"R",9278777,"R",7122698,"R",55829370,"R",51170990,"R",0,"R",4658380,"Z",0,"R",21400929,"R",0,"R",26059309,"R",20972362,"R",2283754,"R",254729,"R",254729,"Z",0,"Z",0,"R",23510845,"Z",0,"Z",0,"R",30924917,"R",23076116,"R",20792362,"R",2283754,"R",254729,"R",254729,"R",0,"R",0,"R",0,"R",1352598,"Z",0,"Z",0,"R",221010,"Z",0,"R",0,"R",55829370,"R",16544599,"R",10569134,"R",3241201,"R",2382201,"R",352063,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3376314,"R",2052309,"R",629375,"R",469221,"R",225409,"Z",0,"R",0,"R",3503310,"R",2119498,"R",649979,"R",505315,"R",228518,"Z",0,"R",0,"R",2329057,"R",1368206,"R",419583,"R",324846,"R",216422,"Z",0,"R",0,"R",237502,"R",198909,"R",17680,"R",12648,"R",8265,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3609396,"R",1026797,"R",-5023490,"R",387297,"Z",0,"R",0,"R",25180208,"R",0,"R",0,"R",1329259,"R",143409,"Z",0,"R",23707540,"R",51170990,"R",19917452,"R",5984615,"R",1561383,"Z",0,"R",23707540,"R",2592898,"R",375849, 3
134121,"R",597981,"R",0,"R",485767,"R",0,"R",4985697,"Z",0,"R",-4387716,"R",597981,"R",0,"R",0,"R",1113715,"R",0,"R",0,"R",1113715,"R",627948,"R",485767,"R",1130575,"R",5240866,"R",-1683388,"R",-5793679,"R",849194,"R",556769,"R",0,"R",-4387716,"R",398799,"Z",0,"R",19268,"R",19268,"Z",0,"R",7396,"R",425463,"Z",0,"Z",0,"R",1130575,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",1130575,"R",1443339,"R",760053,"R",156848,"R",526438,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",29535,"R",22880,"R",6406,"R",249,"Z",0,"Z",0,"R",0,"R",20322,"R",16076,"R",4246,"Z",0,"Z",0,"Z",0,"R",0,"R",341788,"R",280030,"R",61758,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-526687,"R",64434,"Z",0,"R",462253,"R",3405882,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",3405882,"R",5240866,"R",1079039,"R",229258,"R",64434,"Z",0,"R",3868135,"A",,"A",,-2
134149,"R",142641233,"Z",0,"R",276090,"Z",0,"R",1396836,"Z",0,"R",141244397,"R",142641233,"Z",0,"Z",0,"R",651453,"Z",0,"R",5516913,"R",6168366,"R",5892276,"R",276090,"R",24018402,"R",20117002,"R",8231810,"R",12133210,"Z",0,"R",129111187,"R",0,"R",141244397,"R",6616323,"R",173831,"R",215353,"R",215353,"Z",0,"Z",0,"R",7005507,"Z",0,"Z",0,"R",24018402,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",24018402,"R",9687479,"R",2202674,"R",516366,"R",511233,"R",168467,"Z",0,"R",6288739,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3182979,"R",2608952,"R",573970,"Z",0,"Z",0,"Z",0,"R",57,"R",550097,"R",450899,"R",99198,"Z",0,"Z",0,"Z",0,"R",0,"R",6696446,"R",1969567,"R",433305,"Z",0,"Z",0,"Z",0,"R",4293574,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-511233,"Z",0,"Z",0,"R",511233,"R",1,"R",1,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",20117002,"R",7232093,"R",1622839,"R",168467,"Z",0,"R",11093603,"Z",0,"Z",0, 1
134228,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",498248,"R",0,"R",0,"R",0,"R",0,"R",0,"R",498248,"R",0,"R",0,"R",61256,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",63542,"A",,"A",,"R",65604,"R",190402,"R",70810,"R",69810,"R",100,"R",0,"R",0,"R",0,"R",900,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",110,"R",90,"R",10,"R",0,"R",0,"R",0,"R",10,"R",630,"R",375,"R",5,"R",0,"R",0,"R",0,"R",250,"R",110,"R",100,"R",10,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",43714,"R",43714,"R",0,"R",0,"R",0,"R",0,"R",0,"R",115374,"R",114089,"R",125,"Z",0,"Z",0,"R",1160,"A",,"A",,-2
134237,"R",203761557,"R",0,"R",95741054,"R",0,"R",105311016,"R",12636683,"R",98450541,"R",203761557,"R",89644576,"R",0,"R",138487787,"R",1838217,"R",4287458,"R",234258038,"R",138516984,"R",95741054,"R",383832300,"R",310865632,"R",0,"R",72966668,"R",-69636133,"R",95120006,"R",0,"R",98450541,"R",57106050,"R",6615439,"R",1418872,"R",720558,"R",698314,"R",44960220,"R",110100581,"R",45655541,"R",0,"R",381688103,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",316621,"R",0,"R",0,"R",0,"R",1827576,"R",383832300,"R",107395040,"R",52633462,"R",4047727,"R",16973,"R",10442422,"R",331633,"R",39922823,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44216496,"R",21480207,"R",809545,"R",978357,"R",1305303,"R",41454,"R",19601630,"R",45526785,"R",36768713,"R",2833409,"R",0,"R",1305303,"R",41454,"R",4577906,"R",16406972,"R",11682694,"R",404772,"R",3889,"Z",0,"Z",0,"R",4315617,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",-999219,"Z",0,"Z",0,"R",999219,"R",97320339,"R",11459398,"R",0,"R",0,"R",0,"R",0,"R",85860941,"R",310865632,"R",134024474,"R",8095453,"R",13053028,"R",414541,"R",155278136,"R",0,"R",118116, 3
134422,"R",716900,"R",4303,"R",26303,"R",18000,"R",84348,"R",0,"R",632552,"R",716900,"R",0,"R",0,"R",220748,"R",0,"R",0,"R",220748,"R",194445,"R",26303,"R",795449,"R",1097478,"R",0,"R",-302029,"R",0,"R",934581,"R",0,"R",632552,"R",161501,"R",7116,"R",35501,"R",35501,"R",0,"R",5500,"R",209618,"R",5500,"R",0,"R",351716,"R",161501,"R",0,"R",161501,"R",35501,"R",0,"R",35501,"R",0,"R",0,"R",5500,"R",0,"R",0,"R",0,"A",,"R",241231,"R",795449,"R",341571,"R",330119,"R",11452,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",207771,"R",202271,"R",5500,"Z",0,"Z",0,"Z",0,"R",0,"R",39500,"R",38000,"R",1500,"Z",0,"Z",0,"Z",0,"R",0,"R",125312,"R",100000,"R",10000,"Z",0,"R",11644,"R",3668,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",383324,"R",0,"R",0,"R",0,"R",0,"R",0,"R",383324,"R",1097478,"R",670390,"R",28452,"R",11644,"R",3668,"R",383324,"R",0,"R",0, 3
134529,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",847863,"R",0,"R",0,"R",0,"R",0,"R",0,"R",847863,"R",0,"R",0,"R",1392271,"R",847863,"Z",0,"R",847863,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",116129,"A",,"A",,"R",0,"R",2356263,"R",657303,"R",420589,"R",10211,"Z",0,"Z",0,"Z",0,"R",226503,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",426758,"R",416638,"R",10120,"Z",0,"Z",0,"Z",0,"R",0,"R",183170,"R",178559,"R",4611,"Z",0,"Z",0,"Z",0,"R",0,"R",80439,"R",78150,"R",2289,"Z",0,"Z",0,"Z",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",865973,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",865973,"R",2213643,"R",1093936,"R",27231,"Z",0,"Z",0,"R",1092476,"A",,"A",,-2
134574,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",450728,"R",5400,"Z",0,"Z",0,"Z",0,"R",15250,"R",471378,"Z",0,"Z",0,"R",1916503,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",176064,"A",,"A",,"R",0,"R",2092567,"R",521496,"R",173134,"R",6176,"Z",0,"Z",0,"Z",0,"R",342186,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",151357,"R",146131,"R",5213,"Z",0,"Z",0,"Z",0,"R",13,"R",324627,"R",232363,"R",8289,"Z",0,"Z",0,"Z",0,"R",83975,"R",645693,"R",183530,"R",6547,"Z",0,"Z",0,"Z",0,"R",455616,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",1643173,"R",735158,"R",26225,"Z",0,"Z",0,"R",881790,"A",,"A",,-2
134680,"R",56830677,"Z",0,"R",4883766,"Z",0,"R",2803844,"Z",0,"R",54026833,"R",56830677,"Z",0,"R",4253178,"R",3159826,"R",232951,"R",25206,"R",7671161,"R",2787395,"R",4883766,"R",9857987,"R",14839640,"R",2063868,"R",-2917785,"R",-12930134,"R",69874753,"R",-1,"R",54026833,"R",1871348,"R",141364,"R",57052,"R",57052,"Z",0,"R",26721,"R",2096485,"R",225137,"Z",0,"R",9772632,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65965,"Z",0,"R",19390,"R",9857987,"R",3651182,"R",1430191,"R",68417,"R",1968416,"R",116393,"Z",0,"R",67765,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1391230,"R",330607,"R",40353,"R",894734,"R",6317,"Z",0,"R",119219,"R",1903035,"R",1329191,"R",142085,"Z",0,"R",87428,"Z",0,"R",344331,"R",6812480,"R",561660,"R",75389,"R",715788,"R",442449,"R",27853,"R",4989341,"R",1007176,"R",63867,"R",3887,"Z",0,"R",3801,"Z",0,"R",935621,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3578938,"Z",0,"Z",0,"R",3578938,"R",74537,"R",0,"R",0,"R",0,"R",0,"R",0,"R",74537,"R",14839640,"R",3715516,"R",330131,"R",656388,"R",27853,"R",10109752,"R",-1910511,"R",-153356, 2
134714,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",925171,"R",97979,"R",3700,"R",0,"R",3700,"R",12838,"R",1039688,"R",0,"R",0,"R",2497469,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",459,"R",270788,"A",,"A",,"R",27,"R",2768743,"R",753714,"R",540000,"R",20310,"R",0,"R",0,"R",0,"R",193404,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",74170,"R",0,"R",0,"R",0,"R",0,"R",0,"R",74170,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1667193,"R",680484,"R",25594,"R",530671,"R",130500,"R",178384,"R",121560,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"Z",0,"Z",0,"R",-530671,"Z",0,"Z",0,"R",530671,"R",149819,"R",0,"R",0,"R",0,"R",0,"R",0,"R",149819,"R",2644896,"R",1220484,"R",45904,"R",130500,"R",178384,"R",1069624,"A",,"A",,-2
